Lithiation,OCV
0.01,0.8391
0.0178,0.6452
0.0255,0.5368
0.0333,0.4587
0.040999999999999995,0.3983
0.0488,0.3493
0.0565,0.3082
0.0643,0.2736
0.07200000000000001,0.2447
0.0798,0.2271
0.0875,0.2226
0.0953,0.2211
0.10300000000000001,0.22
0.1108,0.21899999999999997
0.1185,0.2178
0.1263,0.2163
0.134,0.2142
0.1418,0.2114
0.1495,0.207
0.1573,0.2007
0.165,0.1941
0.1728,0.1884
0.1805,0.1821
0.1883,0.1754
0.196,0.1699
0.2038,0.1658
0.2115,0.1617
0.2193,0.1574
0.22699999999999998,0.1528
0.2348,0.15
0.2425,0.14800000000000002
0.2503,0.1459
0.258,0.14400000000000002
0.2658,0.1426
0.2735,0.1413
0.2813,0.1399
0.289,0.1391
0.2968,0.1383
0.3045,0.1378
0.3123,0.1374
0.32,0.1369
0.3278,0.1367
0.3355,0.1363
0.3433,0.1358
0.35100000000000003,0.1354
0.3588,0.135
0.3665,0.1347
0.3743,0.1343
0.382,0.1339
0.3898,0.1333
0.3975,0.1329
0.4053,0.1323
0.413,0.1316
0.4208,0.131
0.4285,0.1301
0.4363,0.1293
0.444,0.1282
0.4518,0.1269
0.4595,0.1254
0.4673,0.1242
0.475,0.1225
0.4828,0.1205
0.4905,0.11800000000000001
0.4983,0.1141
0.506,0.1092
0.5138,0.1037
0.5215,0.0989
0.5293,0.0954
0.537,0.0931
0.5448,0.0915
0.5525,0.0905
0.5603,0.0894
0.568,0.0886
0.5758,0.0879
0.5835,0.0873
0.5913,0.0864
0.599,0.0857
0.6068,0.0851
0.6145,0.0848
0.6223,0.0846
0.63,0.0844
0.6378,0.0843
0.6455,0.0843
0.6533,0.084
0.6609999999999999,0.084
0.6688,0.084
0.6765,0.0838
0.6843,0.0838
0.6920000000000001,0.0838
0.6998,0.0838
0.7075,0.0837
0.7153,0.0837
0.723,0.0836
0.7308,0.0835
0.7385,0.0834
0.7463,0.0833
0.754,0.0833
0.7618,0.0833
0.7695,0.0832
0.7773,0.0829
0.785,0.0808
