Lithiation,OCV
0.415,4.2754
0.4204,4.2626
0.4258,4.2497
0.4312,4.2369
0.4366,4.2242
0.442,4.2116
0.4474,4.1993
0.4528,4.1873
0.4582,4.1754
0.4636,4.1636
0.469,4.1519
0.4744,4.1404
0.4798,4.129
0.4852,4.1177
0.4906,4.1066
0.496,4.0956
0.5014,4.0847
0.5068,4.0739
0.5122,4.0633
0.5176,4.0527
0.523,4.0423
0.5284,4.032
0.5338,4.0219
0.5392,4.0119
0.5446,4.0022
0.55,3.9926
0.5554,3.9832
0.5608,3.9738
0.5662,3.9646
0.5716,3.9555
0.5770000000000001,3.9465
0.5824,3.9378
0.5878,3.9294
0.5932,3.9212
0.5986,3.9133
0.604,3.9057
0.6094,3.8982
0.6148,3.891
0.6202,3.8839
0.6256,3.877
0.631,3.8703
0.6364,3.8639
0.6418,3.8577
0.6472,3.8519
0.6526,3.8464
0.6579999999999999,3.841
0.6634,3.8359
0.6688,3.8309
0.6742,3.8261
0.6796,3.8215
0.685,3.8171
0.6904,3.8128
0.6958,3.8088
0.7012,3.8048
0.7066,3.8011
0.7120000000000001,3.7975
0.7174,3.7941
0.7228,3.7907
0.7282,3.7875
0.7336,3.7844
0.7390000000000001,3.7813
0.7444,3.7783
0.7498,3.7753
0.7552,3.7724
0.7606,3.7696
0.7659999999999999,3.7669
0.7714,3.7642
0.7768,3.7616
0.7822,3.7589
0.7876,3.7563
0.7929999999999999,3.7537
0.7984,3.7510000000000003
0.8038,3.7483
0.8092,3.7456
0.8146,3.7429
0.82,3.7402
0.8254,3.7375
0.8308,3.7347
0.8362,3.7319
0.8416,3.7291
0.847,3.7262
0.8524,3.7232
0.8578,3.7201
0.8632,3.7171
0.8686,3.714
0.8740000000000001,3.7109
0.8794,3.7076
0.8848,3.7043
0.8902,3.7008
0.8956,3.6971
0.9009999999999999,3.6933
0.9064,3.6893
0.9118,3.6852
0.9172,3.681
0.9226,3.6765
0.9279999999999999,3.6718
0.9334,3.6669
0.9388,3.6616
0.9442,3.656
0.9496,3.65
0.955,3.6434
