,RMSE,Fullcell,Halfcell Anode,Halfcell Cathode,Solution
0,715.5759563726504,LFP-HighV,"Graphite, Birkl2015","LCO, Doyle2003",[-5.20417043e-18  7.00000000e-01 -9.21571847e-18  7.00000000e-01]
1,707.2826449996094,LFP-HighV,"Graphite, Birkl2015","LCO, Jiang2016",[-6.9388939e-18  7.0000000e-01 -5.5472480e-18  7.0000000e-01]
2,663.9214806019667,LFP-HighV,"Graphite, Birkl2015","LCO, Kumaresan2008",[-2.94902991e-17  7.00000000e-01 -3.38271078e-17  7.00000000e-01]
3,717.5698059362078,LFP-HighV,"Graphite, Birkl2015","LCO, Tang2019",[-5.20417043e-18  7.00000000e-01 -6.93889390e-18  7.00000000e-01]
4,798.8675643890044,LFP-HighV,"Graphite, Birkl2015","LFP, Const",[2.59985387e-18 7.00000000e-01 9.03597278e-02 8.97747219e-01]
5,774.9323319087159,LFP-HighV,"Graphite, Birkl2015","LFP, Delacourt2011",[-2.77555756e-17  7.00000000e-01 -2.77555756e-17  7.00000000e-01]
6,774.9323319087159,LFP-HighV,"Graphite, Birkl2015","LFP, Farkhondeh2014",[-2.77555756e-17  7.00000000e-01 -2.77555756e-17  7.00000000e-01]
7,774.9323319087159,LFP-HighV,"Graphite, Birkl2015","LFP, HighV",[-2.77555756e-17  7.00000000e-01 -2.77555756e-17  7.00000000e-01]
8,809.7341886530631,LFP-HighV,"Graphite, Birkl2015","LFP, Kashkooli2016",[ 0.00000000e+00  7.00000000e-01 -2.94902991e-18  7.00000000e-01]
9,395.4639665438344,LFP-HighV,"Graphite, Birkl2015","LFP, Prada2012",[ 2.03078125e-02  1.00000000e+00 -3.32850067e-21  7.00000000e-01]
10,429.1707823677923,LFP-HighV,"Graphite, Birkl2015","LFP, Srinivasan2004a",[-2.54827836e-18  7.00000000e-01 -2.57892352e-18  7.00000000e-01]
11,774.9323319087159,LFP-HighV,"Graphite, Birkl2015","LFP, Thorat2011",[-2.77555756e-17  7.00000000e-01 -2.77555756e-17  7.00000000e-01]
12,679.120163461083,LFP-HighV,"Graphite, Birkl2015","LMO, Albertus2009",[3.82792208e-18 7.00000000e-01 6.93889390e-18 7.00000000e-01]
13,578.7466550200363,LFP-HighV,"Graphite, Birkl2015","LMO, Das2004",[0.00000000e+00 7.00000000e-01 1.73472348e-18 7.00000000e-01]
